도로명전체주소,사업장명,위도,경도
"경기도 의정부시 청사로5번길 26, 경남빌딩 1층 (신곡동)",드림피아약국,37.74881076,127.0696507
"경기도 의정부시 용민로 198, 104-3호 (민락동)",다나약국,37.74616098,127.0939686
"경기도 의정부시 호동로 67, 화성프라자 2층 207호 (호원동)",2층우리약국,37.72793107,127.0433026
"경기도 의정부시 용민로 198, 1층 104-3호 (민락동)",종로 보룡약국,37.74616098,127.0939686
"경기도 의정부시 호국로1310번길 46, 1층 (의정부동)",송약국,37.74152616,127.0495112
"경기도 의정부시 태평로 174, 1층 (의정부동)",한우리약국,37.74770626,127.0493031
"경기도 의정부시 호동로 67, 화성프라자 2층 207호 (호원동)",호원우리약국,37.72793107,127.0433026
"경기도 의정부시 용민로 1, 1층 103호 (용현동)",용현비타민약국,37.73425053,127.0793901
"경기도 의정부시 금신로 368, 1층 105호 (금오동)",유명약국,37.7479817,127.0585336
"경기도 의정부시 평화로322번길 52, 상가제1층 106-1호 (호원동, 호원3차우성아파트)",송현약국,37.72366392,127.0494088
"경기도 의정부시 신곡로 46-9, 1층 (신곡동)",이현약국,37.73078738,127.0571381
"경기도 의정부시 의정로 44, 1층 (의정부동, 석천빌딩)",해맑은약국,37.73667018,127.0352977
"경기도 의정부시 평화로 624, 1층 (의정부동)",참약국,37.74758933,127.0456838
"경기도 의정부시 평화로 626, 1층 (의정부동)",수약국,37.74770475,127.0456578
"경기도 의정부시 용민로 407, 102호 (낙양동, 한덕프라자)",우리들온누리약국,37.75562341,127.1135956
경기도 의정부시 송양로 29 (낙양동),대동약국,37.75230367,127.1092519
경기도 의정부시 신흥로 362 (가능동),서진약국,37.74857039,127.0428193
경기도 의정부시 신촌로 7 (가능동),다나약국,37.75045455,127.0352965
경기도 의정부시 흥선로 137 (의정부동),용약국,37.7417065,127.0424438
경기도 의정부시 평화로 243 (호원동),미래약국,37.71358357,127.046981
"경기도 의정부시 체육로 298-13, 1층 106호 (녹양동, 현대프라자)",햇살온누리약국,37.7604811,127.041004
"경기도 의정부시 체육로 306-28, 106호 (녹양동, 굿모닝프라자)",녹양약국,37.75989796,127.0413487
"경기도 의정부시 의정로 102, 1층 (가능동)",밝은미소약국,37.74182201,127.0349986
"경기도 의정부시 체육로 298-13, 1층 106호 (녹양동, 현대프라자)",햇살온누리약국,37.7604811,127.041004
경기도 의정부시 행복로 40 (의정부동),메디칼약국,37.74197518,127.050409
경기도 의정부시 동일로 640 (금오동),터미널약국,37.74521216,127.0550777
"경기도 의정부시 오목로 229, 1층 (민락동)",메디칼수약국,37.74662647,127.0998267
"경기도 의정부시 체육로 306-24, 105호 (녹양동, 성해프라자)",대성약국,37.76012374,127.0413649
"경기도 의정부시 오목로 229, 1층 (민락동, 성진메디칼프라자)",메디칼수약국,37.74662647,127.0998267
"경기도 의정부시 호국로 1319, 1층 105호 (의정부동, 남평프라자)",성민약국,37.74394383,127.0507646
경기도 의정부시 신촌로 7 (가능동),다나약국,37.75045455,127.0352965
경기도 의정부시 태평로 222 (의정부동),가능약국,37.75044049,127.0450955
"경기도 의정부시 의정로 102, 1층 (가능동)",메디팜 힘찬약국,37.74182201,127.0349986
경기도 의정부시 흥선로 137 (의정부동),정문약국,37.7417065,127.0424438
"경기도 의정부시 금신로 318, 1층 (신곡동)",우리약국,37.74496689,127.0625429
"경기도 의정부시 행복로 27, 1층 (의정부동)",중앙로엔젤팜약국,37.74117754,127.0493867
경기도 의정부시 태평로 110 (의정부동),헬스팜약국,37.74235899,127.0518616
"경기도 의정부시 오목로 227, 103호 (민락동, 예스프라자센텀)",샛별약국,37.74637786,127.0997597
경기도 의정부시 체육로 278 (녹양동),허브팜녹양약국,37.760688,127.0390444
"경기도 의정부시 용민로 401, 106호 (낙양동, 예스프라자)",천사약국,37.75556993,127.1128952
경기도 의정부시 흥선로 137 (의정부동),큰길약국,37.7417065,127.0424438
"경기도 의정부시 청사로 38, 2층 (금오동)",플러스약국,37.75216372,127.0710013
경기도 의정부시 용현로105번길 7-16 (민락동),플러스약국,37.74177714,127.0870509
"경기도 의정부시 신곡로 46-9, 1층 4호 (신곡동)",종로약국,37.73078738,127.0571381
"경기도 의정부시 신흥로 81, 지하2층 5호 (호원동, 쌍용스윗닷홈)",세계로약국,37.72345494,127.043348
"경기도 의정부시 오목로 227, 103호 (민락동, 예스프라자센텀)",정연약국,37.74637786,127.0997597
"경기도 의정부시 회룡로 188, 109호 (장암동, 장암골드프라자)",봄약국,37.72636771,127.0545877
"경기도 의정부시 신흥로 81, 지하2층 (호원동, 쌍용스윗닷홈 상가동)",세계로약국,37.72345494,127.043348
